id,minute,result,X,Y,xG,player_id,situation,shotType,lastAction
401855,93,MissedShots,0.766999969,0.664000015,0.016205167,6817,OpenPlay,LeftFoot,Pass
377758,71,BlockedShot,0.788000031,0.452000008,0.077569984,1776,OpenPlay,LeftFoot,BallRecovery
392403,11,MissedShots,0.829000015,0.85,0.023720672,700,FromCorner,RightFoot,Pass
401832,29,MissedShots,0.846999969,0.360999985,0.077802934,5656,OpenPlay,LeftFoot,Pass
420853,41,MissedShots,0.825999985,0.492999992,0.048162568,508,FromCorner,RightFoot,Pass
416985,33,BlockedShot,0.755999985,0.427000008,0.018605651,2383,OpenPlay,LeftFoot,Pass
389688,73,MissedShots,0.893000031,0.384000015,0.05691709,6492,OpenPlay,RightFoot,Cross
386909,61,BlockedShot,0.888000031,0.46,0.109857455,592,OpenPlay,RightFoot,None
401842,57,MissedShots,0.894000015,0.629000015,0.09913072,1006,OpenPlay,LeftFoot,Pass
401852,80,MissedShots,0.883000031,0.307000008,0.048993774,5656,OpenPlay,LeftFoot,Pass
395686,66,MissedShots,0.96,0.334000015,0.054291777,6630,OpenPlay,RightFoot,Rebound
389690,80,BlockedShot,0.816999969,0.655999985,0.02410032,318,FromCorner,RightFoot,None
386898,38,MissedShots,0.804000015,0.427000008,0.044308987,2328,OpenPlay,RightFoot,Pass
404862,75,ShotOnPost,0.850999985,0.500999985,0.124144405,318,OpenPlay,RightFoot,Pass
404846,3,MissedShots,0.805,0.499000015,0.048910376,492,OpenPlay,LeftFoot,Pass
392426,86,MissedShots,0.915,0.460999985,0.042189363,1749,FromCorner,OtherBodyPart,Aerial
381206,63,Goal,0.866999969,0.370999985,0.092905261,5656,OpenPlay,LeftFoot,Pass
420865,92,BlockedShot,0.875,0.615999985,0.080875814,7153,OpenPlay,LeftFoot,Pass
389686,63,MissedShots,0.95,0.47,0.122521833,1749,FromCorner,Head,Chipped
420862,83,MissedShots,0.815999985,0.342000008,0.04862611,508,OpenPlay,RightFoot,None
389683,51,BlockedShot,0.813000031,0.512999992,0.065388009,3422,OpenPlay,RightFoot,Pass
412844,93,SavedShot,0.865999985,0.53,0.44228667,838,OpenPlay,RightFoot,Pass
420860,72,MissedShots,0.941999969,0.524000015,0.468895257,4391,OpenPlay,Head,Cross
424179,9,BlockedShot,0.786999969,0.641999969,0.023654612,2517,OpenPlay,LeftFoot,Pass
416983,24,BlockedShot,0.891999969,0.362999992,0.088245921,7322,OpenPlay,LeftFoot,Pass
393069,27,MissedShots,0.715,0.579000015,0.014675948,2446,OpenPlay,RightFoot,Pass
377744,7,BlockedShot,0.735999985,0.680999985,0.040781099,5553,DirectFreekick,RightFoot,Standard
389691,81,MissedShots,0.935,0.512999992,0.06555362,318,OpenPlay,Head,Aerial
424178,6,BlockedShot,0.771999969,0.359000015,0.018025519,5656,OpenPlay,LeftFoot,Pass
386920,91,SavedShot,0.859000015,0.325,0.066421963,592,OpenPlay,RightFoot,Pass
401825,10,MissedShots,0.698000031,0.614000015,0.012109995,1676,OpenPlay,LeftFoot,BallTouch
392412,50,SavedShot,0.899000015,0.512000008,0.099201985,318,OpenPlay,Head,Cross
384090,79,Goal,0.92,0.524000015,0.3722651,755,OpenPlay,Head,Pass
412838,70,MissedShots,0.810999985,0.288999996,0.023001028,1250,OpenPlay,LeftFoot,None
412839,72,SavedShot,0.864000015,0.575999985,0.321932524,1250,OpenPlay,LeftFoot,Chipped
410603,60,MissedShots,0.755999985,0.258999996,0.013629426,2328,OpenPlay,RightFoot,Pass
399639,13,MissedShots,0.905,0.437000008,0.051119473,1676,SetPiece,OtherBodyPart,Cross
424185,34,MissedShots,0.735,0.721999969,0.009818542,6048,OpenPlay,RightFoot,None
420850,34,Goal,0.848000031,0.312000008,0.051301833,5656,OpenPlay,LeftFoot,Pass
393067,21,BlockedShot,0.685,0.699000015,0.01159878,2446,OpenPlay,RightFoot,Pass
404852,40,Goal,0.885,0.5,0.761168838,318,Penalty,RightFoot,Standard
412834,51,BlockedShot,0.874000015,0.442000008,0.078398064,1250,OpenPlay,RightFoot,Cross
416986,34,MissedShots,0.775999985,0.69,0.013415195,1823,FromCorner,LeftFoot,Aerial
420859,66,Goal,0.815,0.53,0.089629747,7153,OpenPlay,LeftFoot,Pass
424184,34,BlockedShot,0.895,0.612000008,0.100733347,9284,OpenPlay,LeftFoot,Pass
401844,61,MissedShots,0.804000015,0.479000015,0.050478138,1676,OpenPlay,RightFoot,Pass
406111,5,SavedShot,0.9,0.465999985,0.42419973,618,OpenPlay,RightFoot,TakeOn
392406,20,MissedShots,0.891999969,0.475,0.07852108,1749,OpenPlay,Head,Cross
386908,60,MissedShots,0.915999985,0.54,0.108731873,1749,FromCorner,LeftFoot,None
424192,64,SavedShot,0.765,0.761999969,0.01088682,9284,OpenPlay,RightFoot,Pass
404844,0,BlockedShot,0.89,0.605999985,0.096117996,2517,OpenPlay,LeftFoot,Pass
406123,55,BlockedShot,0.829000015,0.580999985,0.081932075,2958,OpenPlay,RightFoot,Pass
412841,81,Goal,0.919000015,0.535999985,0.56942451,6854,OpenPlay,RightFoot,Pass
404853,44,Goal,0.965,0.35,0.102073379,492,OpenPlay,RightFoot,Pass
415659,96,SavedShot,0.9,0.382999992,0.060327269,2446,FromCorner,RightFoot,HeadPass
415640,1,MissedShots,0.921999969,0.579000015,0.429660827,7752,OpenPlay,RightFoot,Throughball
401848,70,BlockedShot,0.748000031,0.427999992,0.017828308,6817,OpenPlay,RightFoot,Pass
399656,65,SavedShot,0.959000015,0.579000015,0.380565494,3277,OpenPlay,Head,Cross
420846,18,MissedShots,0.966999969,0.524000015,0.625638545,9290,OpenPlay,RightFoot,Cross
395684,63,SavedShot,0.851999969,0.515,0.117023624,7752,OpenPlay,RightFoot,Pass
395695,94,SavedShot,0.81,0.452000008,0.019789312,2662,OpenPlay,LeftFoot,TakeOn
384078,12,MissedShots,0.906999969,0.502999992,0.083502583,5613,FromCorner,LeftFoot,Cross
384079,12,BlockedShot,0.875999985,0.475999985,0.082233906,5613,FromCorner,LeftFoot,HeadPass
415646,58,Goal,0.885,0.5,0.761168838,5587,Penalty,RightFoot,Standard
420858,57,BlockedShot,0.746999969,0.407000008,0.021053454,1737,FromCorner,RightFoot,Pass
377745,24,Goal,0.923000031,0.485999985,0.359912872,3277,OpenPlay,Head,Chipped
384075,3,MissedShots,0.959000015,0.565999985,0.054304678,3277,FromCorner,Head,OffsidePass
395696,94,BlockedShot,0.853000031,0.627000008,0.040733878,6456,OpenPlay,RightFoot,Chipped
420854,43,SavedShot,0.973000031,0.653000031,0.091875091,7322,OpenPlay,LeftFoot,Pass
395677,43,Goal,0.735,0.367999992,0.046069179,204,DirectFreekick,LeftFoot,Standard
406129,76,BlockedShot,0.886999969,0.515999985,0.079308711,7322,OpenPlay,LeftFoot,None
412833,51,BlockedShot,0.735,0.412000008,0.014841014,1250,OpenPlay,LeftFoot,None
416993,63,MissedShots,0.901999969,0.440999985,0.085573241,508,SetPiece,RightFoot,Cross
424191,59,Goal,0.871999969,0.31,0.060082838,5656,OpenPlay,LeftFoot,Pass
424188,48,Goal,0.901999969,0.375999985,0.067920499,5656,OpenPlay,RightFoot,Cross
393064,6,MissedShots,0.798000031,0.694000015,0.015668254,835,SetPiece,LeftFoot,None
412836,63,Goal,0.945999985,0.565,0.131568611,6854,OpenPlay,Head,Cross
392417,64,SavedShot,0.946999969,0.282999992,0.04633975,318,OpenPlay,RightFoot,Pass
389680,51,MissedShots,0.923000031,0.460999985,0.042945866,318,OpenPlay,Head,None
386902,47,SavedShot,0.936999969,0.286000004,0.066142358,7722,OpenPlay,RightFoot,Pass
406121,49,BlockedShot,0.861999969,0.340999985,0.052535385,5656,OpenPlay,LeftFoot,Pass
406125,55,SavedShot,0.840999985,0.499000015,0.074962623,314,OpenPlay,RightFoot,Rebound
415652,73,MissedShots,0.681999969,0.52,0.012058976,7322,FromCorner,RightFoot,None
384082,21,MissedShots,0.908000031,0.455,0.097670682,318,OpenPlay,Head,Cross
416977,1,BlockedShot,0.785,0.718000031,0.022559041,6482,OpenPlay,RightFoot,Pass
406126,56,MissedShots,0.785999985,0.545999985,0.024245536,447,FromCorner,RightFoot,None
399649,52,SavedShot,0.865,0.535999985,0.011511258,766,SetPiece,Head,Aerial
386901,43,BlockedShot,0.919000015,0.660999985,0.096585505,592,OpenPlay,LeftFoot,Pass
398747,38,BlockedShot,0.915999985,0.447999992,0.126381233,633,SetPiece,RightFoot,Rebound
395669,24,MissedShots,0.91,0.475999985,0.138986573,7230,OpenPlay,LeftFoot,Pass
416982,23,BlockedShot,0.904000015,0.472000008,0.104133308,6482,OpenPlay,LeftFoot,HeadPass
398743,22,BlockedShot,0.869000015,0.665999985,0.069710352,522,OpenPlay,RightFoot,TakeOn
401831,24,SavedShot,0.9,0.455,0.053486664,204,FromCorner,Head,Cross
401829,22,MissedShots,0.754000015,0.27,0.01076718,2328,OpenPlay,RightFoot,LayOff
398756,73,MissedShots,0.929000015,0.504000015,0.058125321,1749,FromCorner,Head,Aerial
377754,66,ShotOnPost,0.904000015,0.45,0.048372123,531,OpenPlay,Head,None
401833,31,MissedShots,0.731999969,0.460999985,0.019513845,556,OpenPlay,RightFoot,Pass
381209,87,BlockedShot,0.731999969,0.640999985,0.007857529,7707,OpenPlay,LeftFoot,Chipped
384089,67,SavedShot,0.873000031,0.415999985,0.064724766,492,OpenPlay,RightFoot,Cross
410608,89,BlockedShot,0.916999969,0.487999992,0.531046927,6249,SetPiece,RightFoot,Rebound
381204,43,SavedShot,0.868000031,0.686999969,0.054610804,318,OpenPlay,RightFoot,HeadPass
395682,59,SavedShot,0.856999969,0.507000008,0.062278815,7752,OpenPlay,RightFoot,Aerial
399652,57,MissedShots,0.790999985,0.656999969,0.0279714,8089,OpenPlay,LeftFoot,Rebound
412843,91,MissedShots,0.898000031,0.494000015,0.198931307,838,SetPiece,Head,Cross
389678,45,SavedShot,0.926999969,0.298999996,0.09030138,318,OpenPlay,RightFoot,Throughball
392424,81,MissedShots,0.721999969,0.66,0.014433414,5613,OpenPlay,LeftFoot,Pass
386900,43,BlockedShot,0.888000031,0.385999985,0.033755928,7726,SetPiece,Head,Chipped
406115,26,BlockedShot,0.901999969,0.342000008,0.084318511,750,OpenPlay,LeftFoot,Pass
415654,87,MissedShots,0.754000015,0.372999992,0.02120503,7322,OpenPlay,LeftFoot,Pass
395697,95,BlockedShot,0.92,0.614000015,0.024922671,935,FromCorner,Head,Cross
424193,67,MissedShots,0.916999969,0.695999985,0.109611675,318,OpenPlay,LeftFoot,Pass
410592,4,MissedShots,0.855,0.838000031,0.012966251,8089,OpenPlay,LeftFoot,Rebound
399661,88,MissedShots,0.925,0.510999985,0.052922528,1676,FromCorner,Head,Aerial
398742,20,SavedShot,0.744000015,0.445,0.019457208,7322,OpenPlay,LeftFoot,Pass
399658,70,MissedShots,0.788000031,0.47,0.043015335,7322,OpenPlay,LeftFoot,Pass
412829,26,BlockedShot,0.804000015,0.404000015,0.039871205,1791,OpenPlay,LeftFoot,None
410595,22,MissedShots,0.746999969,0.512000008,0.019639278,2328,OpenPlay,RightFoot,Pass
377749,46,BlockedShot,0.920999985,0.67,0.06944517,7322,OpenPlay,LeftFoot,Pass
386906,56,BlockedShot,0.829000015,0.39,0.034195289,675,FromCorner,RightFoot,Cross
401830,23,BlockedShot,0.745,0.318999996,0.017054223,492,OpenPlay,RightFoot,Pass
406130,79,MissedShots,0.889000015,0.38,0.350938886,2379,OpenPlay,RightFoot,Pass
393081,79,BlockedShot,0.680999985,0.515999985,0.011246542,111,OpenPlay,RightFoot,Pass
393075,56,SavedShot,0.760999985,0.432999992,0.022276804,7700,OpenPlay,RightFoot,None
401828,20,MissedShots,0.896999969,0.316000004,0.079593576,5656,OpenPlay,RightFoot,TakeOn
398759,85,BlockedShot,0.730999985,0.625,0.015944151,204,OpenPlay,LeftFoot,Pass
386893,12,MissedShots,0.865999985,0.427999992,0.068389438,700,OpenPlay,RightFoot,Cross
395680,57,MissedShots,0.915999985,0.559000015,0.03503431,935,FromCorner,Head,Aerial
389685,59,BlockedShot,0.911999969,0.641999969,0.093822904,8291,OpenPlay,LeftFoot,BallRecovery
410600,42,MissedShots,0.9,0.535999985,0.046672415,2517,OpenPlay,Head,Chipped
384085,41,MissedShots,0.944000015,0.696999969,0.023810636,7322,OpenPlay,RightFoot,Cross
424181,26,SavedShot,0.813000031,0.729000015,0.017914012,2328,OpenPlay,RightFoot,Pass
412826,10,MissedShots,0.765,0.412999992,0.012484927,489,OpenPlay,RightFoot,Aerial
399660,85,BlockedShot,0.719000015,0.475,0.045682892,700,DirectFreekick,RightFoot,Standard
404851,27,BlockedShot,0.894000015,0.502999992,0.433724105,318,OpenPlay,RightFoot,Pass
393063,1,MissedShots,0.706999969,0.308999996,0.011365819,7700,OpenPlay,RightFoot,BallRecovery
377752,60,MissedShots,0.888000031,0.435,0.069483683,1776,OpenPlay,RightFoot,HeadPass
386916,74,Goal,0.910999985,0.64,0.298492342,8865,OpenPlay,LeftFoot,Pass
404857,51,BlockedShot,0.835999985,0.685999985,0.025152724,8718,OpenPlay,LeftFoot,None
389670,26,Goal,0.929000015,0.520999985,0.530344188,6382,OpenPlay,RightFoot,Rebound
398745,28,MissedShots,0.88,0.602000008,0.092618316,606,OpenPlay,LeftFoot,Pass
392411,49,SavedShot,0.863000031,0.602000008,0.080175035,8089,OpenPlay,RightFoot,Pass
398749,41,SavedShot,0.881999969,0.502999992,0.03498378,606,OpenPlay,Head,Aerial
416999,92,BlockedShot,0.946999969,0.680999985,0.050384481,2446,OpenPlay,LeftFoot,Rebound
377753,64,BlockedShot,0.750999985,0.575999985,0.040689081,531,OpenPlay,RightFoot,Pass
404860,65,MissedShots,0.829000015,0.643000031,0.053514093,8026,OpenPlay,LeftFoot,Pass
420864,89,Goal,0.731999969,0.5,0.052893788,700,DirectFreekick,RightFoot,Standard
420861,80,MissedShots,0.89,0.559000015,0.058481392,4391,SetPiece,Head,Cross
389676,44,MissedShots,0.698000031,0.492999992,0.037314702,1676,DirectFreekick,RightFoot,Standard
415643,20,BlockedShot,0.856999969,0.580999985,0.061754048,5587,OpenPlay,RightFoot,Rebound
416992,60,BlockedShot,0.888000031,0.432999992,0.052792966,5656,FromCorner,LeftFoot,Cross
401827,19,SavedShot,0.81,0.487999992,0.035726536,6817,FromCorner,LeftFoot,None
392418,66,SavedShot,0.704000015,0.490999985,0.012292376,1654,OpenPlay,LeftFoot,Pass
412840,80,SavedShot,0.754000015,0.529000015,0.023552807,771,OpenPlay,RightFoot,None
401841,52,BlockedShot,0.939000015,0.382000008,0.012803801,1676,FromCorner,Head,Aerial
399643,23,MissedShots,0.848000031,0.669000015,0.039525993,7420,OpenPlay,LeftFoot,Pass
424186,43,ShotOnPost,0.91,0.602999992,0.013912435,5613,FromCorner,Head,Aerial
412827,13,MissedShots,0.750999985,0.382000008,0.018772259,3420,OpenPlay,RightFoot,Tackle
386910,65,MissedShots,0.818000031,0.490999985,0.047842775,496,OpenPlay,RightFoot,None
401854,88,MissedShots,0.926999969,0.485,0.419642329,3294,OpenPlay,RightFoot,Cross
395672,29,MissedShots,0.801999969,0.725999985,0.016188212,8067,FromCorner,RightFoot,None
415653,77,MissedShots,0.9,0.369000015,0.064796686,6482,OpenPlay,RightFoot,Chipped
420855,48,SavedShot,0.889000015,0.305,0.054871343,5656,OpenPlay,LeftFoot,None
392428,91,MissedShots,0.811999969,0.504000015,0.045617227,1749,OpenPlay,RightFoot,None
386914,72,BlockedShot,0.905999985,0.61,0.125410557,675,OpenPlay,RightFoot,Pass
392404,13,MissedShots,0.905999985,0.567000008,0.269710034,4456,OpenPlay,OtherBodyPart,Cross
398760,88,MissedShots,0.730999985,0.419000015,0.011207743,5656,SetPiece,LeftFoot,None
404859,57,Goal,0.954000015,0.502999992,0.083637632,8717,FromCorner,Head,Aerial
377761,87,MissedShots,0.978000031,0.599000015,0.048303284,8288,OpenPlay,Head,Cross
406120,47,MissedShots,0.859000015,0.658000031,0.069890223,447,OpenPlay,LeftFoot,Pass
389684,56,MissedShots,0.778000031,0.664000015,0.063923158,700,DirectFreekick,RightFoot,Standard
392423,77,MissedShots,0.956999969,0.525,0.081664592,1665,FromCorner,Head,Aerial
399648,49,Goal,0.875999985,0.625,0.116447374,318,OpenPlay,LeftFoot,Chipped
398758,82,BlockedShot,0.750999985,0.520999985,0.023861442,7230,FromCorner,LeftFoot,Rebound
401846,64,SavedShot,0.871999969,0.375,0.064478315,7230,OpenPlay,RightFoot,None
406119,46,MissedShots,0.875,0.709000015,0.042617373,2958,OpenPlay,LeftFoot,Pass
384083,27,SavedShot,0.949000015,0.464000015,0.088326596,3277,OpenPlay,Head,Aerial
398752,47,MissedShots,0.906999969,0.572999992,0.016014628,1749,FromCorner,Head,Aerial
401839,48,BlockedShot,0.901999969,0.624000015,0.073965624,700,OpenPlay,RightFoot,None
392425,85,BlockedShot,0.843000031,0.287000008,0.027046004,7322,OpenPlay,LeftFoot,Pass
398748,38,MissedShots,0.800999985,0.669000015,0.025756923,606,OpenPlay,RightFoot,Chipped
424177,5,SavedShot,0.688000031,0.435,0.01400446,204,OpenPlay,LeftFoot,Pass
395664,0,MissedShots,0.903000031,0.55,0.09803047,7752,OpenPlay,RightFoot,None
392407,27,SavedShot,0.906999969,0.535999985,0.425709337,3277,OpenPlay,RightFoot,Pass
412828,26,SavedShot,0.903000031,0.475,0.098410726,838,OpenPlay,Head,Cross
412831,32,SavedShot,0.964000015,0.417999992,0.122390568,5656,OpenPlay,Head,Cross
410606,78,SavedShot,0.905999985,0.637000008,0.014162553,647,FromCorner,Head,Cross
386896,33,BlockedShot,0.865999985,0.739000015,0.041242953,7722,OpenPlay,LeftFoot,Pass
415649,70,SavedShot,0.975999985,0.580999985,0.337682098,5656,OpenPlay,Head,Cross
406117,33,BlockedShot,0.855,0.577000008,0.103827573,314,OpenPlay,RightFoot,Pass
377755,66,BlockedShot,0.889000015,0.464000015,0.47804001,531,OpenPlay,RightFoot,Aerial
406112,7,BlockedShot,0.9,0.302999992,0.06844341,750,OpenPlay,RightFoot,Pass
401850,76,BlockedShot,0.774000015,0.435,0.020475758,492,FromCorner,LeftFoot,None
377756,66,BlockedShot,0.779000015,0.395,0.027711736,1776,OpenPlay,LeftFoot,None
416991,58,BlockedShot,0.845,0.620999985,0.044692837,508,FromCorner,RightFoot,Pass
420840,5,MissedShots,0.795999985,0.315,0.021410471,508,OpenPlay,RightFoot,None
389673,33,SavedShot,0.928000031,0.517999992,0.112793677,7236,FromCorner,Head,Cross
416998,92,SavedShot,0.951999969,0.66,0.057647321,7752,OpenPlay,RightFoot,BallTouch
393073,46,MissedShots,0.743000031,0.494000015,0.029169837,986,OpenPlay,RightFoot,TakeOn
401845,64,ShotOnPost,0.796999969,0.301000004,0.065767571,3277,DirectFreekick,RightFoot,Standard
398740,14,MissedShots,0.730999985,0.587999992,0.048442181,8706,DirectFreekick,RightFoot,Standard
398757,82,MissedShots,0.896999969,0.485999985,0.044367488,6482,FromCorner,Head,HeadPass
386915,72,BlockedShot,0.89,0.64,0.092120118,675,OpenPlay,RightFoot,Chipped
415660,96,Goal,0.98,0.54,0.818663418,6482,FromCorner,RightFoot,Rebound
420839,1,MissedShots,0.785,0.612999992,0.020584077,7153,FromCorner,LeftFoot,None
389682,50,BlockedShot,0.930999985,0.545999985,0.151033983,8778,OpenPlay,RightFoot,Pass
420843,11,MissedShots,0.726999969,0.370999985,0.013207156,7153,OpenPlay,LeftFoot,None
406113,7,MissedShots,0.774000015,0.495,0.029382447,447,FromCorner,RightFoot,Pass
392422,76,BlockedShot,0.858000031,0.545999985,0.073421381,6044,SetPiece,LeftFoot,Rebound
386903,48,MissedShots,0.888000031,0.599000015,0.066249087,700,OpenPlay,LeftFoot,None
406110,1,Goal,0.949000015,0.504000015,0.559829175,618,OpenPlay,Head,Cross
401847,67,SavedShot,0.744000015,0.492999992,0.011656174,1740,OpenPlay,RightFoot,Aerial
399641,14,ShotOnPost,0.963000031,0.582999992,0.451313436,318,OpenPlay,LeftFoot,Rebound
424195,72,ShotOnPost,0.855999985,0.617999992,0.092701517,2328,OpenPlay,RightFoot,Pass
377743,4,SavedShot,0.909000015,0.500999985,0.048906956,528,FromCorner,Head,HeadPass
395691,83,SavedShot,0.96,0.360999985,0.051310629,1749,FromCorner,RightFoot,BallTouch
415656,89,BlockedShot,0.729000015,0.435,0.01452674,204,FromCorner,LeftFoot,None
406118,43,MissedShots,0.911999969,0.332000008,0.052844994,5656,OpenPlay,LeftFoot,None
392410,45,BlockedShot,0.770999985,0.604000015,0.025381751,7322,OpenPlay,LeftFoot,Pass
395687,74,MissedShots,0.895999985,0.507000008,0.019302195,3288,FromCorner,Head,Aerial
395681,59,MissedShots,0.806999969,0.499000015,0.040965803,7768,SetPiece,RightFoot,None
395673,30,MissedShots,0.771999969,0.705,0.015175369,7768,OpenPlay,RightFoot,Pass
424183,28,SavedShot,0.726999969,0.298999996,0.03584601,204,DirectFreekick,LeftFoot,Standard
424182,26,BlockedShot,0.689000015,0.457000008,0.017330745,204,FromCorner,LeftFoot,Pass
395670,24,BlockedShot,0.966999969,0.709000015,0.040392719,7752,OpenPlay,LeftFoot,Rebound
412830,29,MissedShots,0.798000031,0.678000031,0.01805451,482,OpenPlay,RightFoot,TakeOn
377748,44,Goal,0.954000015,0.494000015,0.5920313,531,OpenPlay,RightFoot,Cross
386892,9,SavedShot,0.920999985,0.484000015,0.541096926,2328,OpenPlay,RightFoot,None
377751,52,MissedShots,0.945,0.479000015,0.539049089,531,OpenPlay,RightFoot,Cross
395688,79,MissedShots,0.925,0.502999992,0.076025084,702,OpenPlay,Head,Aerial
395692,84,Goal,0.960999985,0.482000008,0.702738822,702,OpenPlay,OtherBodyPart,Pass
424180,23,MissedShots,0.953000031,0.569000015,0.14635165,318,OpenPlay,OtherBodyPart,Cross
389679,48,MissedShots,0.93,0.36,0.110970311,900,OpenPlay,RightFoot,Pass
399646,44,MissedShots,0.915999985,0.572999992,0.057303324,1676,FromCorner,Head,Cross
377763,93,BlockedShot,0.783000031,0.442000008,0.046448689,5656,OpenPlay,LeftFoot,Pass
404850,25,SavedShot,0.900999985,0.645999985,0.077045172,8720,OpenPlay,LeftFoot,Pass
415655,89,SavedShot,0.924000015,0.641999969,0.081590429,7752,OpenPlay,LeftFoot,TakeOn
399653,59,Goal,0.893000031,0.535999985,0.132852003,7322,OpenPlay,LeftFoot,Pass
392414,53,BlockedShot,0.736999969,0.46,0.020374987,318,OpenPlay,RightFoot,Pass
399640,14,SavedShot,0.893000031,0.291000004,0.04454929,7322,OpenPlay,RightFoot,Pass
393082,83,MissedShots,0.773000031,0.327999992,0.01332837,5656,SetPiece,LeftFoot,None
395690,83,ShotOnPost,0.851999969,0.510999985,0.063178517,496,FromCorner,RightFoot,None
415658,94,BlockedShot,0.914000015,0.609000015,0.098178327,6482,OpenPlay,LeftFoot,Pass
416997,77,MissedShots,0.751999969,0.51,0.01556843,2328,OpenPlay,RightFoot,HeadPass
389677,45,SavedShot,0.908000031,0.469000015,0.146547258,8778,OpenPlay,RightFoot,Pass
410604,63,Goal,0.885,0.5,0.761168838,3277,Penalty,RightFoot,Standard
420848,20,SavedShot,0.788000031,0.609000015,0.027114814,496,OpenPlay,RightFoot,Pass
398741,19,SavedShot,0.858000031,0.684000015,0.040235765,318,FromCorner,RightFoot,TakeOn
395667,21,MissedShots,0.911999969,0.460999985,0.074989341,935,FromCorner,Head,Cross
404847,11,SavedShot,0.931999969,0.562999992,0.052948672,822,OpenPlay,Head,Aerial
384081,20,SavedShot,0.926999969,0.72,0.048490725,7322,OpenPlay,LeftFoot,Pass
389675,41,Goal,0.910999985,0.512000008,0.416886598,8291,OpenPlay,RightFoot,TakeOn
377750,50,MissedShots,0.709000015,0.651999969,0.011331333,1760,OpenPlay,LeftFoot,TakeOn
401840,49,BlockedShot,0.853000031,0.497000008,0.062031835,5656,OpenPlay,LeftFoot,Cross
406124,55,BlockedShot,0.86,0.72,0.043388363,618,OpenPlay,RightFoot,Pass
386904,54,MissedShots,0.78,0.624000015,0.023565575,2446,SetPiece,RightFoot,Pass
404848,12,Goal,0.865999985,0.67,0.052158326,318,OpenPlay,RightFoot,Pass
412832,34,MissedShots,0.854000015,0.502000008,0.091621116,489,OpenPlay,RightFoot,Pass
424175,3,BlockedShot,0.791999969,0.675,0.023008374,2517,OpenPlay,LeftFoot,Pass
404861,68,Goal,0.918000031,0.51,0.429236174,3428,OpenPlay,RightFoot,Pass
420849,28,Goal,0.929000015,0.562999992,0.391687512,7230,OpenPlay,LeftFoot,Cross
